Child's First Name,Summation of Counts,Ethnicity
AALIYAH,110,BLACK NON HISP
AALIYAH,136,HISPANIC
AARAV,20,ASIAN AND PACI
AARON,132,ASIAN AND PACI
AARON,118,BLACK NON HISP
AARON,252,HISPANIC
AARON,190,WHITE NON HISP
AAYAN,26,ASIAN AND PACI
ABBY,22,ASIAN AND PACI
ABDIEL,22,HISPANIC
ABDOUL,20,BLACK NON HISP
ABDOULAYE,30,BLACK NON HISP
ABDUL,32,ASIAN AND PACI
ABDUL,30,BLACK NON HISP
ABDULLAH,56,ASIAN AND PACI
ABEL,48,HISPANIC
ABIGAIL,58,ASIAN AND PACI
ABIGAIL,132,BLACK NON HISP
ABIGAIL,198,HISPANIC
ABIGAIL,226,WHITE NON HISP
ABRAHAM,38,HISPANIC
ABRAHAM,264,WHITE NON HISP
ADA,24,ASIAN AND PACI
ADA,28,WHITE NON HISP
ADAM,82,ASIAN AND PACI
ADAM,40,BLACK NON HISP
ADAM,96,HISPANIC
ADAM,280,WHITE NON HISP
ADAN,22,HISPANIC
ADDISON,64,WHITE NON HISP
ADELAIDE,38,WHITE NON HISP
ADELE,30,WHITE NON HISP
ADEN,22,HISPANIC
ADINA,40,WHITE NON HISP
ADITYA,22,ASIAN AND PACI
ADONIS,30,BLACK NON HISP
ADONIS,32,HISPANIC
ADRIAN,54,ASIAN AND PACI
ADRIAN,48,BLACK NON HISP
ADRIAN,328,HISPANIC
ADRIAN,82,WHITE NON HISP
ADRIANA,118,HISPANIC
ADRIANA,86,WHITE NON HISP
ADRIANNA,22,BLACK NON HISP
ADRIANNA,40,HISPANIC
ADRIANNA,46,WHITE NON HISP
ADRIEL,48,HISPANIC
AHMAD,30,WHITE NON HISP
AHMED,30,ASIAN AND PACI
AHMED,68,WHITE NON HISP
AHRON,22,WHITE NON HISP
AHUVA,30,WHITE NON HISP
AICHA,28,BLACK NON HISP
AIDAN,78,ASIAN AND PACI
AIDAN,28,BLACK NON HISP
AIDAN,50,HISPANIC
AIDAN,72,WHITE NON HISP
AIDEN,236,ASIAN AND PACI
AIDEN,312,BLACK NON HISP
AIDEN,470,HISPANIC
AIDEN,146,WHITE NON HISP
AILEEN,54,HISPANIC
AISHA,22,ASIAN AND PACI
AISHA,38,BLACK NON HISP
AISSATOU,26,BLACK NON HISP
AKIVA,40,WHITE NON HISP
ALAN,70,ASIAN AND PACI
ALAN,92,HISPANIC
ALAN,54,WHITE NON HISP
ALANA,50,BLACK NON HISP
ALANA,36,HISPANIC
ALANA,24,WHITE NON HISP
ALANI,26,BLACK NON HISP
ALANI,28,HISPANIC
ALBERT,36,ASIAN AND PACI
ALBERT,52,HISPANIC
ALBERT,42,WHITE NON HISP
ALBERTO,28,HISPANIC
ALDO,28,HISPANIC
ALEJANDRA,28,HISPANIC
ALEJANDRO,126,HISPANIC
ALEKSANDER,20,WHITE NON HISP
ALESSANDRA,34,HISPANIC
ALESSANDRA,30,WHITE NON HISP
ALESSIA,32,WHITE NON HISP
ALEX,108,ASIAN AND PACI
ALEX,24,BLACK NON HISP
ALEX,106,HISPANIC
ALEX,46,WHITE NON HISP
ALEXA,24,BLACK NON HISP
ALEXA,132,HISPANIC
ALEXA,112,WHITE NON HISP
ALEXANDER,146,ASIAN AND PACI
ALEXANDER,84,BLACK NON HISP
ALEXANDER,400,HISPANIC
ALEXANDER,454,WHITE NON HISP
ALEXANDRA,24,ASIAN AND PACI
ALEXANDRA,82,HISPANIC
ALEXANDRA,220,WHITE NON HISP
ALEXANDRIA,20,WHITE NON HISP
ALEXIA,24,HISPANIC
ALEXIS,36,ASIAN AND PACI
ALEXIS,24,BLACK NON HISP
ALEXIS,96,HISPANIC
ALEXIS,46,WHITE NON HISP
ALI,34,ASIAN AND PACI
ALI,28,BLACK NON HISP
ALI,86,WHITE NON HISP
ALICE,74,ASIAN AND PACI
ALICE,44,HISPANIC
ALICE,108,WHITE NON HISP
ALICIA,30,BLACK NON HISP
ALICIA,36,HISPANIC
ALINA,60,ASIAN AND PACI
ALINA,36,HISPANIC
ALINA,32,WHITE NON HISP
ALISA,24,WHITE NON HISP
ALISHA,26,ASIAN AND PACI
ALISON,64,HISPANIC
ALISSON,32,HISPANIC
ALIYAH,40,BLACK NON HISP
ALIYAH,34,HISPANIC
ALIZA,40,WHITE NON HISP
ALLEN,70,ASIAN AND PACI
ALLEN,44,HISPANIC
ALLISON,32,ASIAN AND PACI
ALLISON,172,HISPANIC
ALLISON,32,WHITE NON HISP
ALLYSON,36,HISPANIC
ALMA,20,WHITE NON HISP
ALONDRA,34,HISPANIC
ALPHA,28,BLACK NON HISP
ALSTON,28,ASIAN AND PACI
ALTER,30,WHITE NON HISP
ALVIN,90,ASIAN AND PACI
ALVIN,24,HISPANIC
ALYSSA,36,ASIAN AND PACI
ALYSSA,60,BLACK NON HISP
ALYSSA,96,HISPANIC
ALYSSA,44,WHITE NON HISP
AMADOU,42,BLACK NON HISP
AMALIA,20,HISPANIC
AMALIA,22,WHITE NON HISP
AMANDA,44,ASIAN AND PACI
AMANDA,22,BLACK NON HISP
AMANDA,84,HISPANIC
AMANDA,34,WHITE NON HISP
AMAR'E,32,BLACK NON HISP
AMARE,30,BLACK NON HISP
AMARI,88,BLACK NON HISP
AMAYA,22,ASIAN AND PACI
AMAYA,74,BLACK NON HISP
AMAYA,72,HISPANIC
AMBER,38,ASIAN AND PACI
AMBER,20,BLACK NON HISP
AMBER,50,HISPANIC
AMBERLY,22,HISPANIC
AMELIA,40,ASIAN AND PACI
AMELIA,32,BLACK NON HISP
AMELIA,84,HISPANIC
AMELIA,172,WHITE NON HISP
AMELIE,22,HISPANIC
AMELIE,22,WHITE NON HISP
AMINA,36,ASIAN AND PACI
AMINA,22,BLACK NON HISP
AMINA,32,WHITE NON HISP
AMINATA,40,BLACK NON HISP
AMIR,132,BLACK NON HISP
AMIR,30,HISPANIC
AMIR,50,WHITE NON HISP
AMIRA,32,BLACK NON HISP
AMIRA,26,WHITE NON HISP
AMIRAH,54,BLACK NON HISP
AMIYAH,28,BLACK NON HISP
AMY,46,ASIAN AND PACI
AMY,136,HISPANIC
AMY,26,WHITE NON HISP
ANA,76,HISPANIC
ANAIS,20,HISPANIC
ANALIA,30,HISPANIC
ANASTASIA,38,WHITE NON HISP
ANAYA,24,ASIAN AND PACI
ANDERSON,74,HISPANIC
ANDERSON,22,WHITE NON HISP
ANDRE,28,BLACK NON HISP
ANDRE,36,HISPANIC
ANDREA,98,HISPANIC
ANDRES,64,HISPANIC
ANDREW,132,ASIAN AND PACI
ANDREW,100,BLACK NON HISP
ANDREW,224,HISPANIC
ANDREW,242,WHITE NON HISP
ANDY,116,ASIAN AND PACI
ANDY,102,HISPANIC
ANGEL,28,ASIAN AND PACI
ANGEL,28,BLACK NON HISP
ANGEL,472,HISPANIC
ANGELA,104,ASIAN AND PACI
ANGELA,52,HISPANIC
ANGELICA,38,HISPANIC
ANGELINA,34,ASIAN AND PACI
ANGELINA,26,BLACK NON HISP
ANGELINA,118,HISPANIC
ANGELINA,96,WHITE NON HISP
ANGELIQUE,52,HISPANIC
ANGELO,28,HISPANIC
ANGELO,38,WHITE NON HISP
ANGIE,40,HISPANIC
ANGUS,32,ASIAN AND PACI
ANISHA,28,ASIAN AND PACI
ANIYA,22,BLACK NON HISP
ANIYAH,60,BLACK NON HISP
ANIYAH,28,HISPANIC
ANNA,78,ASIAN AND PACI
ANNA,20,HISPANIC
ANNA,180,WHITE NON HISP
ANNABEL,22,WHITE NON HISP
ANNABELLE,24,ASIAN AND PACI
ANNABELLE,28,WHITE NON HISP
ANNE,24,WHITE NON HISP
ANNIE,50,ASIAN AND PACI
ANSON,50,ASIAN AND PACI
ANTHONY,90,ASIAN AND PACI
ANTHONY,116,BLACK NON HISP
ANTHONY,388,HISPANIC
ANTHONY,266,WHITE NON HISP
ANTONIA,24,WHITE NON HISP
