Child's First Name,Ethnicity,Summation of Counts
AALIYAH,BLACK NON HISP,110
AALIYAH,HISPANIC,136
AARAV,ASIAN AND PACI,20
AARON,ASIAN AND PACI,132
AARON,BLACK NON HISP,118
AARON,HISPANIC,252
AARON,WHITE NON HISP,190
AAYAN,ASIAN AND PACI,26
ABBY,ASIAN AND PACI,22
ABDIEL,HISPANIC,22
ABDOUL,BLACK NON HISP,20
ABDOULAYE,BLACK NON HISP,30
ABDUL,ASIAN AND PACI,32
ABDUL,BLACK NON HISP,30
ABDULLAH,ASIAN AND PACI,56
ABEL,HISPANIC,48
ABIGAIL,ASIAN AND PACI,58
ABIGAIL,BLACK NON HISP,132
ABIGAIL,HISPANIC,198
ABIGAIL,WHITE NON HISP,226
ABRAHAM,HISPANIC,38
ABRAHAM,WHITE NON HISP,264
ADA,ASIAN AND PACI,24
ADA,WHITE NON HISP,28
ADAM,ASIAN AND PACI,82
ADAM,BLACK NON HISP,40
ADAM,HISPANIC,96
ADAM,WHITE NON HISP,280
ADAN,HISPANIC,22
ADDISON,WHITE NON HISP,64
ADELAIDE,WHITE NON HISP,38
ADELE,WHITE NON HISP,30
ADEN,HISPANIC,22
ADINA,WHITE NON HISP,40
ADITYA,ASIAN AND PACI,22
ADONIS,BLACK NON HISP,30
ADONIS,HISPANIC,32
ADRIAN,ASIAN AND PACI,54
ADRIAN,BLACK NON HISP,48
ADRIAN,HISPANIC,328
ADRIAN,WHITE NON HISP,82
ADRIANA,HISPANIC,118
ADRIANA,WHITE NON HISP,86
ADRIANNA,BLACK NON HISP,22
ADRIANNA,HISPANIC,40
ADRIANNA,WHITE NON HISP,46
ADRIEL,HISPANIC,48
AHMAD,WHITE NON HISP,30
AHMED,ASIAN AND PACI,30
AHMED,WHITE NON HISP,68
AHRON,WHITE NON HISP,22
AHUVA,WHITE NON HISP,30
AICHA,BLACK NON HISP,28
AIDAN,ASIAN AND PACI,78
AIDAN,BLACK NON HISP,28
AIDAN,HISPANIC,50
AIDAN,WHITE NON HISP,72
AIDEN,ASIAN AND PACI,236
AIDEN,BLACK NON HISP,312
AIDEN,HISPANIC,470
AIDEN,WHITE NON HISP,146
AILEEN,HISPANIC,54
AISHA,ASIAN AND PACI,22
AISHA,BLACK NON HISP,38
AISSATOU,BLACK NON HISP,26
AKIVA,WHITE NON HISP,40
ALAN,ASIAN AND PACI,70
ALAN,HISPANIC,92
ALAN,WHITE NON HISP,54
ALANA,BLACK NON HISP,50
ALANA,HISPANIC,36
ALANA,WHITE NON HISP,24
ALANI,BLACK NON HISP,26
ALANI,HISPANIC,28
ALBERT,ASIAN AND PACI,36
ALBERT,HISPANIC,52
ALBERT,WHITE NON HISP,42
ALBERTO,HISPANIC,28
ALDO,HISPANIC,28
ALEJANDRA,HISPANIC,28
ALEJANDRO,HISPANIC,126
ALEKSANDER,WHITE NON HISP,20
ALESSANDRA,HISPANIC,34
ALESSANDRA,WHITE NON HISP,30
ALESSIA,WHITE NON HISP,32
ALEX,ASIAN AND PACI,108
ALEX,BLACK NON HISP,24
ALEX,HISPANIC,106
ALEX,WHITE NON HISP,46
ALEXA,BLACK NON HISP,24
ALEXA,HISPANIC,132
ALEXA,WHITE NON HISP,112
ALEXANDER,ASIAN AND PACI,146
ALEXANDER,BLACK NON HISP,84
ALEXANDER,HISPANIC,400
ALEXANDER,WHITE NON HISP,454
ALEXANDRA,ASIAN AND PACI,24
ALEXANDRA,HISPANIC,82
ALEXANDRA,WHITE NON HISP,220
ALEXANDRIA,WHITE NON HISP,20
ALEXIA,HISPANIC,24
ALEXIS,ASIAN AND PACI,36
ALEXIS,BLACK NON HISP,24
ALEXIS,HISPANIC,96
ALEXIS,WHITE NON HISP,46
ALI,ASIAN AND PACI,34
ALI,BLACK NON HISP,28
ALI,WHITE NON HISP,86
ALICE,ASIAN AND PACI,74
ALICE,HISPANIC,44
ALICE,WHITE NON HISP,108
ALICIA,BLACK NON HISP,30
ALICIA,HISPANIC,36
ALINA,ASIAN AND PACI,60
ALINA,HISPANIC,36
ALINA,WHITE NON HISP,32
ALISA,WHITE NON HISP,24
ALISHA,ASIAN AND PACI,26
ALISON,HISPANIC,64
ALISSON,HISPANIC,32
ALIYAH,BLACK NON HISP,40
ALIYAH,HISPANIC,34
ALIZA,WHITE NON HISP,40
ALLEN,ASIAN AND PACI,70
ALLEN,HISPANIC,44
ALLISON,ASIAN AND PACI,32
ALLISON,HISPANIC,172
